Date,Open,Open2,Close,Close2,Moving Average,Stochastic,Momentum,Subtracao,Commodity Channel Index
2006-06-30,2.0568,"2,056,786",2.0454,"2,045,357",2.0800,0.8286496307,0.0396,0.0346,23000.2027
2006-07-03,2.0543,"2,054,286",2.0696,"2,069,643",2.0770,0.3511243246,-0.0825,0.0073,20372.6702
2006-07-05,2.0411,"2,041,071",2.0357,"2,035,714",2.0687,0.6498321895,-0.0314,0.0330,24820.4678
2006-07-06,2.0389,"2,038,929",1.9918,"1,991,786",2.0593,0.3299645524,-0.0711,0.0676,24020.4461
2006-07-07,1.9814,"1,981,429",1.9786,"1,978,571",2.0429,0,-0.0593,0.0643,20295.9757
2006-07-10,1.9893,"1,989,286",1.9643,"1,964,286",2.0326,0,-0.0221,0.0683,17884.6547
2006-07-11,1.9682,"1,968,214",1.9875,"1,987,500",2.0273,0,-0.1418,0.0398,18381.1736
2006-07-12,1.9704,"1,970,357",1.8914,"1,891,429",2.0104,0.2203365699,-0.0579,0.1190,17873.2451
2006-07-13,1.8582,"1,858,214",1.8661,"1,866,071",1.9884,0,-0.1782,0.1223,13943.8786
2006-07-14,1.8750,"1,875,000",1.8096,"1,809,643",1.9593,0,-0.1696,0.1497,10667.5117
2006-07-17,1.8475,"1,847,500",1.8704,"1,870,357",1.9270,0,-0.1821,0.0567,8550.7877
2006-07-18,1.8986,"1,898,571",1.8893,"1,889,286",1.9097,0.3413641296,-0.1082,0.0204,8622.2981
2006-07-19,1.8914,"1,891,429",1.9321,"1,932,143",1.8969,0.4477923275,-0.0750,0.0352,9217.6505
2006-07-20,2.1771,"2,177,143",2.1607,"2,160,714",1.8923,0.6887555733,-0.0554,0.2684,9755.0304
2006-07-21,2.1364,"2,136,429",2.1686,"2,168,571",1.9171,1,0.2693,0.2515,6956.0379
2006-07-24,2.1879,"2,187,857",2.1936,"2,193,571",1.9567,1,0.3025,0.2369,6059.2968
2006-07-25,2.2064,"2,206,429",2.2118,"2,211,786",2.0035,1,0.3839,0.2083,5506.6129
2006-07-26,2.2143,"2,214,286",2.2811,"2,281,071",2.0609,1,0.3414,0.2202,5356.2833
2006-07-27,2.3036,"2,303,571",2.2643,"2,264,286",2.1196,1,0.3918,0.1447,4783.0312
2006-07-28,2.2836,"2,283,571",2.3425,"2,342,500",2.1732,0.95189552,0.3321,0.1693,4457.4393
2006-07-31,2.3868,"2,386,786",2.4271,"2,427,143",2.2318,1,0.1818,0.1954,4168.1279
2006-08-01,2.4007,"2,400,714",2.3993,"2,399,286",2.2698,1,0.2586,0.1294,4456.2205
2006-08-02,2.4161,"2,416,071",2.4343,"2,434,286",2.3028,0.8807348484,0.2057,0.1315,4943.9760
2006-08-03,2.4254,"2,425,357",2.4854,"2,485,357",2.3372,1,0.2225,0.1482,5459.0163
2006-08-04,2.3946,"2,394,643",2.4393,"2,439,286",2.3763,1,0.2043,0.0630,5843.5232
2006-08-07,2.4186,"2,418,571",2.4004,"2,400,357",2.3989,0.7916008884,0.1750,0.0015,6843.5941
2006-08-08,2.3961,"2,396,071",2.3136,"2,313,571",2.4183,0.404999405,0.0579,0.1047,8077.7295
2006-08-09,2.3368,"2,336,786",2.2711,"2,271,071",2.4142,0,-0.1136,0.1431,8737.1547
2006-08-10,2.2589,"2,258,929",2.2882,"2,288,214",2.3919,0,-0.1282,0.1037,9283.3496
2006-08-11,2.2582,"2,258,214",2.2732,"2,273,214",2.3760,0.08000056,-0.1461,0.1028,9563.3132
2006-08-14,2.2875,"2,287,500",2.2836,"2,283,571",2.3530,0.01000065333,-0.2121,0.0694,9877.8385
2006-08-15,2.3336,"2,333,571",2.3732,"2,373,214",2.3242,0.07430966323,-0.1557,0.0490,11062.5195
2006-08-16,2.3964,"2,396,429",2.4279,"2,427,857",2.3147,0.7900546076,-0.0271,0.1131,11285.7940
2006-08-17,2.4286,"2,428,571",2.4139,"2,413,929",2.3187,1,0.1143,0.0953,9465.0738
2006-08-18,2.4182,"2,418,214",2.4254,"2,425,357",2.3330,0.9111655377,0.1429,0.0923,9657.2040
2006-08-21,2.4036,"2,403,571",2.3771,"2,377,143",2.3551,0.9838337332,0.1371,0.0221,10539.4163
2006-08-22,2.3814,"2,381,428",2.4150,"2,415,000",2.3678,0.6720575778,0.1039,0.0472,12185.1087
2006-08-23,2.4286,"2,428,571",2.4039,"2,403,929",2.3880,0.9108922557,0.1314,0.0159,13687.0569
2006-08-24,2.4246,"2,424,643",2.4218,"2,421,786",2.4052,0.5621031056,0.0307,0.0166,15481.7077
2006-08-25,2.4050,"2,405,000",2.4554,"2,455,357",2.4121,0.8802894664,-0.0061,0.0432,16777.9100
2006-08-28,2.4464,"2,446,429",2.3921,"2,392,143",2.4161,1,0.0414,0.0239,20336.4032
2006-08-29,2.3925,"2,392,500",2.3743,"2,374,286",2.4130,0.1917815225,-0.0332,0.0387,25853.7194
2006-08-30,2.4050,"2,405,000",2.3914,"2,391,428",2.4057,0,-0.0029,0.0142,32437.9346
2006-08-31,2.4029,"2,402,857",2.4232,"2,423,214",2.4077,0.2114442896,-0.0236,0.0155,33742.1062
2006-09-01,2.4457,"2,445,714",2.4421,"2,442,143",2.4089,0.603520371,0.0193,0.0333,40133.1826
2006-09-05,2.4632,"2,463,214",2.5529,"2,552,857",2.4143,0.8370070679,0.0204,0.1385,36460.8171
2006-09-06,2.5386,"2,538,571",2.5011,"2,501,071",2.4331,1,0.0975,0.0680,22165.7422
2006-09-07,2.5214,"2,521,429",2.6000,"2,600,000",2.4396,0.709997704,0.1089,0.1604,20566.0293
2006-09-08,2.6204,"2,620,357",2.5900,"2,590,000",2.4693,1,0.2257,0.1207,14753.8811
2006-09-11,2.5868,"2,586,786",2.5893,"2,589,286",2.5001,0.9520549259,0.1986,0.0892,12712.4538
2006-09-12,2.6004,"2,600,357",2.5939,"2,593,929",2.5284,0.9393956535,0.1661,0.0656,11315.9996
2006-09-13,2.6018,"2,601,786",2.6500,"2,650,000",2.5528,0.9615411417,0.1518,0.0972,10578.7979
2006-09-14,2.6329,"2,632,857",2.6489,"2,648,929",2.5824,1,0.0971,0.0665,9776.1374
2006-09-15,2.6643,"2,664,286",2.6464,"2,646,429",2.5962,0.9928086538,0.1479,0.0503,10888.6313
